row,tag_name,article_id,source_feed_name,load_date,load_datetime,feed_name,headline,article_body,author_name,source_unique_id,source_type_name,channel_name,genre,publisher_name,publication_name,publisher_site_url,published_datetime,article_url,region,subregion,country,state,iso_language_code,circulation_size,page,sentiment_score,legacy_score,sentiment_band,sentiment_Correct,External_Strong_Pos,External_Pos,External_Neutral,External_Neg,External_Strong_Neg,Irrelevant,Passing_Mention,Comment,hit_strength,relevance,importance,vipr_weight,vipr_score
0,Aldi,8927531111,social-twitter,2021-07-05,2021-07-05 00:55:55,twitter,Fresh ingredients I bought from @AldiUSA #aldi, Fresh ingredients I bought from @AldiUSA #aldi,TheChefcomic,1411851276959195137,Twitter,Social,,,Twitter,,2021-07-05 00:55:50,https://twitter.com/TheChefcomic/status/1411851276959195137,,,Angola,,en,55,,31,7,Positive,1,,1,,,,,,,6,100,0.1,1.21,12.1953838833716
0,Aldi,8928346953,social-twitter,2021-07-05,2021-07-05 02:21:29,twitter,this is a very extraordinary and interesting project. This project is very good and will be the best of the other p… https://t.co/vLOD8qtqHG, this is a very extraordinary and interesting project. This project is very good and will be the best of the other projects. I hope I will be one of the winners. @aldi @PallabiSarkar39 @AshiqSujan #whiteteethswap #BSC #DeFi  #YieldFarming #Airdrop #Airdrops,designerabdur,1411872813862981635,Twitter,Social,,,Twitter,,2021-07-05 02:21:24,https://twitter.com/designerabdur/status/1411872813862981635,,,Bangladesh,,en,142,,8,5,Neutral,1,,,1,,,,1,,0.5,100,0.1,0.22,1.58896264250933
0,Aldi,8929023285,social-twitter,2021-07-05,2021-07-05 03:31:32,twitter,@kloudkrumbs @orphicgnf @dwtvenus It’s like off brand stuff you see them at Aldi‘s and dollartree lol, @kloudkrumbs @orphicgnf @dwtvenus It’s like off brand stuff you see them at Aldi‘s and dollartree lol,theblueofberry,1411890440580775939,Twitter,Social,,,Twitter,,2021-07-05 03:31:27,https://twitter.com/theblueofberry/status/1411890440580775939,,,Belize,,en,45,,-49,3,Negative,1,,,,1,,,,,2,100,0.1,0.66,-0.257686436314397
0,Aldi,8929649425,regionals-print,2021-07-05,2021-07-05 04:32:55,eclips-print-reg,Store to cut prices,"5MINUTE BRIEFING .   SAINSBURY'S has said it will invest £50 million into the price of its products in a move which will make dozens of popular items cheaper for shoppers.   The supermarket said the move will see 60 core fresh produce, meat and dairy products cut in price by the end of the month. It is the latest step in the retailer's plan to ""put food back at the heart of the business"" amid continued competition from Aldi and Lidl.    ",uncredited,170705227,Regional News,Print,,Nottingham Evening Post,Nottingham Evening Post,Print,2021-07-05 00:00:00,https://www.nla-eclips.com/nlaapi.dll/GetObject?ObjectID=170705227&Format=PDF&BrandingID=F1&PCAID=34,null,,United Kingdom,,en,18610,12,7,5,Neutral,1,,,1,,,1,,Lacks context,0.5,20,1,3.3,23.5585258516321
0,Aldi,8930082388,social-misc,2021-07-05,2021-07-05 05:18:44,moreover-social,"basil vinaigrette - I used the Specially Selected Extra Virgin Olive Oil and lots of fresh basil to make my basil vinaigrette. I could drink this vinaigrette – it is a DREAM! Not only is it vibrant and gorgeous in color, it tastes wonderful.#aldi"," basil vinaigrette - I used the Specially Selected Extra Virgin Olive Oil and lots of fresh basil to make my basil vinaigrette. I could drink this vinaigrette – it is a DREAM! Not only is it vibrant and gorgeous in color, it tastes wonderful.#aldi",,1224551567733,Social Comments,Social,,Pinterest,Most Pinned Recipes,https://www.pinterest.com/skinnytaste/most-pinned-recipes,2021-07-05 00:00:00,http://ct.moreover.com/?a=45313493017&p=1a1&v=1&x=ldC60aUTxjImRn6kenGcjg,Americas,Northern America,United States,,en,1000,,42,7,Positive,0,,,1,,,,1,"Positives about a vineagrete and its ingredients, Aldi mentioned in a hashtag",2,100,0.5,8.25,101.989473490989
0,Aldi,8930651955,regionals-web,2021-07-05,2021-07-05 06:15:57,opoint,Sainsbury's slashing prices of 60 key products from this month," The supermarket is investing £50million in cutting the cost of its produce  Sainsbury's slashing prices of 60 key products from this month  Sainsbury’s has said it will invest £50 million into the price of its products in a move which will make dozens of popular items cheaper for shoppers.  The supermarket chain said the move will see 60 core fresh produce, meat and dairy products cut in price by the end of the month.  It is the latest step in the retailer’s plan to “put food back at the heart of the business” and focus on improving value amid continued competition for customers from German discount rivals Aldi and Lidl.  It also comes after Sainsbury’s launched its Aldi Price Match scheme earlier this year to reduce the price of hundreds of items.  Sainsbury’s shoppers will see reductions on essential items such as meat and fresh produce (Jacob King/PA)  Sainsbury’s said the latest round of price cuts will land this week, covering everyday essentials including chicken, bacon, herbs and potatoes.  Around 43 items will be reduced on July 7, with a raft of further reductions taking the total of 60 by the end of the month.  The retailer added that its current Aldi Price Match and Price Lock are “already making a significant difference and getting a good early response from customers”.  Rhian Bartlett, Sainsbury’s food commercial director, said: “Now more than ever we know we need to do more to deliver the great quality customers expect from Sainsbury’s, at great prices.  “It’s our mission to help everyone eat better and these price reductions are the latest step to show how serious we are about delivering on this promise to customers.  “Including everyday items and recipe essentials, we hope this will help shoppers save on their groceries and enjoy the month ahead.”  Sainsbury’s has seen strong sales over the past year as it remained open during coronavirus lockdowns.  Sales for the 12 months to March jumped by 7.8%, although the business dropped to £261 million loss for the year after it was impacted by £485 million in Covid related costs. ",Neil Shaw,12806-143976,Regional News,Web,,Get Reading,Get Reading,http://www.getreading.co.uk,2021-07-05 06:13:10,https://www.getreading.co.uk/news/uk-world-news/sainsburys-slashing-prices-60-key-20969357,Europe,Western Europe,United Kingdom,,en,708743,,26,7,Positive,0,,,1,,,,1,Aldi's strategies mentioned alongside the report of another supermarket cutting prices,2,13.6363636363636,1,7,64.9125323177066
0,Aldi,8931005725,regionals-web,2021-07-05,2021-07-05 06:52:13,opoint,"Woolies, Coles, Australia's most trusted brands: report"," Woolies has beaten its rival Coles for one key reason during the coronavirus pandemic, a new survey of thousands of Aussies has found.   Retailers Woolworths and Coles are the nation's most trusted brands, a new survey reveals.   Australia's two largest supermarket brands came out on top in 2021, according to the latest Roy Morgan Risk Report released on Monday.   Data scientists surveyed more than 20,000 Australians to identify the nation's 20 most trusted and distrusted brands.   They found supermarkets, led by Woolworths, Coles, Bunnings and then Aldi dominated the list of trusted brands amid the pandemic, which led to a retail sales boom on the back of record government support for the economy.   Roy Morgan CEO Michele Levine said the essential nature of these businesses kept them “front and centre” for Aussies who have been prevented from engaging in many activities deemed non-essential.   “Woolworths and Coles have both moved up the trust league ladder during the Covid period with their supply of food and drink (and toilet paper) keeping the economy moving, and households well-stocked, during several lockdowns which forced the closure of other retailers for sometimes months on end,” Ms Levine said.   Bunnings Warehouse and ALDI also kept their high standings in third and fourth place respectively, as Bunnings stayed open during lockdown as an essential business supplying goods and materials to trades and the building industry.   Kmart also jumped three spots from its pre-pandemic to sixth overall.   Other companies that excelled when it came to trustworthiness included Apple - which jumped 78 places to come seventh overall, rubbing shoulders with Toyota in eight position and Qantas in fifth in the top 10 most trusted brands.   However, when it came to brands Australians trusted the least, Amazon, Rio Tinto and Huawei made the top 10 for the first time.   Other brands such as Crown Resorts, Uber, Twitter and TikTok were also in the top 20 of the most distrusted brands, many of which had endured negative publicity in recent times.   “A look at the new brands to enter the top 20 most distrusted brands list reveals a litany of missteps and controversies over the last year including Rio Tinto's destruction of the 46,000 year old Juukan indigenous heritage site, concerns about Chinese government influence for Huawei and Tiktok and legal and licensing problems for Crown Resorts related to the facilitation of large-scale money laundering,” Ms Levine said.   Major banks NAB, ANZ and CBA managed to improve their rankings, with all three dropping out of the top 10 least trusted brands.   Ms Levine said distrust remained the biggest risk factor for companies, which needed to take heed of public sentiment.   The report's release came as Australian retail turnover rose 0.4 per cent in May 2021, seasonally adjusted, based on final retail trade figures issued by the Australian Bureau of Statistics on Monday. ",Melissa Iaria,28074-1456456,Regional News,Web,,Daily Telegraph,Daily Telegraph,https://www.dailytelegraph.com.au,2021-07-05 06:46:58,https://www.dailytelegraph.com.au/business/companies/woolies-coles-australias-most-trusted-brands-report/news-story/a37f7bc94f8a792c0afeb404343e5b17,Oceania,,Australia,,en,2814700,,22,6,Positive,1,,1,,,,,,,1,7.40740740740741,0.25,0.55,4.7923340449677
0,Aldi,8931382769,social-twitter,2021-07-05,2021-07-05 07:29:26,twitter,#BREAKING: A Sydney Aldi supermarket has been added to the growing list of venues of concern after NSW recorded doz… https://t.co/UFkBwTOvkL, #BREAKING: A Sydney Aldi supermarket has been added to the growing list of venues of concern after NSW recorded dozens of new Covid-19 cases. https://t.co/HAoHvC4Nmj,newscomauHQ,1411950308125601794,Twitter,Social,,,Twitter,,2021-07-05 07:29:20,https://twitter.com/newscomauHQ/status/1411950308125601794,,,Australia,,en,557625,,0,5,Neutral,0,,,,1,,,,An Aldi supermarket suspected of being source of new covid infections in australia,3,100,0.5,11,72.8345237791561
0,Aldi,8931562062,social-twitter,2021-07-05,2021-07-05 07:45:11,twitter,@aldidot not the name is ALDI sksksk @lacantikas, @aldidot not the name is ALDI sksksk @lacantikas,msnadyaannisa,1411954273844219909,Twitter,Social,,,Twitter,,2021-07-05 07:45:06,https://twitter.com/msnadyaannisa/status/1411954273844219909,,,Hong Kong,,en,1005,,0,5,Neutral,1,,,1,,,,1,,2,100,0.1,0.66,4.37007142674937
0,Aldi,8931831886,social-twitter,2021-07-05,2021-07-05 08:09:36,twitter,@leannt1984 @AldiUK @BeersnBlues Socks and sliders tho, @leannt1984 @AldiUK @BeersnBlues Socks and sliders tho,what_aaron_said,1411960416398422019,Twitter,Social,,,Twitter,,2021-07-05 08:09:30,https://twitter.com/what_aaron_said/status/1411960416398422019,,,Costa Rica,,en,482,,0,5,Neutral,1,,,1,,,,1,,2,100,0.1,0.66,4.37007142674937
